videoid,accuracy_percentage
"video2","85"
"video5","80"
"video3","70"
"video4","35"
"video7","65"
"video15","20"
"video16","50"
"video10","60"
"video0","75"
"video13","65"
"video18","60"
"video8","50"
"video20","60"
"video19","60"
"video1","65"
"video11","60"
"video14","85"
"video6","95"
"video9","55"
"video12","60"
"video17","35"
